County	WeekStartDate	NewPos_All	Age 0-19	Age 20-39	Age 40-59	Age 60-79	Age 80+	Positive UnkAge	dtm_updated
Adams County	2020-03-08	4	0	1	1	2	0	0	2020/07/26 16:17:34
Adams County	2020-03-15	3	0	0	3	0	0	0	2020/07/26 16:17:34
Adams County	2020-03-22	9	0	1	4	4	0	0	2020/07/26 16:17:34
Adams County	2020-03-29	17	2	8	4	3	0	0	2020/07/26 16:17:34
Adams County	2020-04-05	8	1	2	4	1	0	0	2020/07/26 16:17:34
Adams County	2020-04-12	2	0	1	1	0	0	0	2020/07/26 16:17:34
Adams County	2020-04-19	4	0	4	0	0	0	0	2020/07/26 16:17:34
Adams County	2020-04-26	2	0	1	1	0	0	0	2020/07/26 16:17:34
Adams County	2020-05-03	1	1	0	0	0	0	0	2020/07/26 16:17:34
Adams County	2020-05-10	2	0	1	1	0	0	0	2020/07/26 16:17:34
Adams County	2020-05-17	5	0	1	4	0	0	0	2020/07/26 16:17:34
Adams County	2020-05-24	17	2	9	4	2	0	0	2020/07/26 16:17:34
Adams County	2020-05-31	14	5	6	3	0	0	0	2020/07/26 16:17:34
Adams County	2020-06-07	13	1	3	5	3	0	1	2020/07/26 16:17:34
Adams County	2020-06-14	13	1	4	5	3	0	0	2020/07/26 16:17:34
Adams County	2020-06-21	31	0	16	9	5	1	0	2020/07/26 16:17:34
Adams County	2020-06-28	53	14	13	18	8	0	0	2020/07/26 16:17:34
Adams County	2020-07-05	58	17	25	10	4	2	0	2020/07/26 16:17:34
Adams County	2020-07-12	64	13	22	23	4	2	0	2020/07/26 16:17:34
Adams County	2020-07-19	40	9	8	6	7	10	0	2020/07/26 16:17:34
Asotin County	2020-03-15	2	0	0	0	2	0	0	2020/07/26 16:17:34
Asotin County	2020-03-29	2	0	0	2	0	0	0	2020/07/26 16:17:34
Asotin County	2020-04-05	7	0	1	4	1	1	0	2020/07/26 16:17:34
Asotin County	2020-04-12	4	1	0	3	0	0	0	2020/07/26 16:17:34
Asotin County	2020-04-19	3	0	0	0	2	1	0	2020/07/26 16:17:34
Asotin County	2020-05-17	1	0	0	1	0	0	0	2020/07/26 16:17:34
Asotin County	2020-05-31	1	0	0	0	1	0	0	2020/07/26 16:17:34
Asotin County	2020-06-14	1	0	0	0	1	0	0	2020/07/26 16:17:34
Asotin County	2020-06-21	1	0	0	0	1	0	0	2020/07/26 16:17:34
Benton County	2020-02-16	1	0	1	0	0	0	0	2020/07/26 16:17:34
Benton County	2020-03-01	7	0	0	0	3	4	0	2020/07/26 16:17:34
Benton County	2020-03-08	17	0	3	4	6	4	0	2020/07/26 16:17:34
Benton County	2020-03-15	57	2	14	16	10	14	1	2020/07/26 16:17:34
Benton County	2020-03-22	106	3	21	27	25	30	0	2020/07/26 16:17:34
Benton County	2020-03-29	88	2	24	29	21	12	0	2020/07/26 16:17:34
Benton County	2020-04-05	72	7	21	30	12	2	0	2020/07/26 16:17:34
Benton County	2020-04-12	67	3	31	22	9	2	0	2020/07/26 16:17:34
Benton County	2020-04-19	102	6	38	25	19	14	0	2020/07/26 16:17:34
Benton County	2020-04-26	81	7	24	26	15	9	0	2020/07/26 16:17:34
Benton County	2020-05-03	43	2	20	9	9	3	0	2020/07/26 16:17:34
Benton County	2020-05-10	67	4	32	25	5	1	0	2020/07/26 16:17:34
Benton County	2020-05-17	101	13	38	26	9	15	0	2020/07/26 16:17:34
Benton County	2020-05-24	121	12	47	32	21	9	0	2020/07/26 16:17:34
Benton County	2020-05-31	188	19	77	58	28	6	0	2020/07/26 16:17:34
Benton County	2020-06-07	261	31	120	78	26	6	0	2020/07/26 16:17:34
Benton County	2020-06-14	276	32	102	84	36	22	0	2020/07/26 16:17:34
Benton County	2020-06-21	301	41	147	78	28	7	0	2020/07/26 16:17:34
Benton County	2020-06-28	376	49	183	101	35	8	0	2020/07/26 16:17:34
Benton County	2020-07-05	416	64	210	91	37	14	0	2020/07/26 16:17:34
Benton County	2020-07-12	269	50	132	64	20	1	2	2020/07/26 16:17:34
Benton County	2020-07-19	149	27	66	37	14	5	0	2020/07/26 16:17:34
Chelan County	2020-02-09	1	0	0	1	0	0	0	2020/07/26 16:17:34
Chelan County	2020-03-08	8	0	1	5	1	1	0	2020/07/26 16:17:34
Chelan County	2020-03-15	8	0	4	0	2	2	0	2020/07/26 16:17:34
Chelan County	2020-03-22	12	0	3	2	3	4	0	2020/07/26 16:17:34
Chelan County	2020-03-29	24	1	7	6	9	1	0	2020/07/26 16:17:34
Chelan County	2020-04-05	16	0	10	4	2	0	0	2020/07/26 16:17:34
Chelan County	2020-04-12	25	1	18	6	0	0	0	2020/07/26 16:17:34
Chelan County	2020-04-19	25	5	7	9	4	0	0	2020/07/26 16:17:34
Chelan County	2020-04-26	20	1	6	7	6	0	0	2020/07/26 16:17:34
Chelan County	2020-05-03	25	6	11	7	1	0	0	2020/07/26 16:17:34
Chelan County	2020-05-10	35	6	18	10	0	1	0	2020/07/26 16:17:34
Chelan County	2020-05-17	43	5	16	19	3	0	0	2020/07/26 16:17:34
Chelan County	2020-05-24	20	5	8	5	2	0	0	2020/07/26 16:17:34
Chelan County	2020-05-31	6	2	3	0	1	0	0	2020/07/26 16:17:34
Chelan County	2020-06-07	10	4	5	1	0	0	0	2020/07/26 16:17:34
Chelan County	2020-06-14	24	0	13	9	1	1	0	2020/07/26 16:17:34
Chelan County	2020-06-21	62	5	28	23	4	2	0	2020/07/26 16:17:34
Chelan County	2020-06-28	114	20	45	35	11	3	0	2020/07/26 16:17:34
Chelan County	2020-07-05	139	17	61	44	13	4	0	2020/07/26 16:17:34
Chelan County	2020-07-12	173	25	81	48	14	5	0	2020/07/26 16:17:34
Chelan County	2020-07-19	133	22	57	34	13	7	0	2020/07/26 16:17:34
Clallam County	2020-03-01	2	0	0	0	2	0	0	2020/07/26 16:17:34
Clallam County	2020-03-08	5	0	0	2	3	0	0	2020/07/26 16:17:34
Clallam County	2020-03-15	3	0	2	0	1	0	0	2020/07/26 16:17:34
Clallam County	2020-03-29	3	0	2	0	1	0	0	2020/07/26 16:17:34
Clallam County	2020-04-05	1	0	0	1	0	0	0	2020/07/26 16:17:34
Clallam County	2020-04-19	4	0	3	0	0	1	0	2020/07/26 16:17:34
Clallam County	2020-04-26	1	0	1	0	0	0	0	2020/07/26 16:17:34
Clallam County	2020-05-10	4	2	0	2	0	0	0	2020/07/26 16:17:34
Clallam County	2020-05-17	2	2	0	0	0	0	0	2020/07/26 16:17:34
Clallam County	2020-05-24	2	0	1	0	0	1	0	2020/07/26 16:17:34
Clallam County	2020-05-31	1	0	0	1	0	0	0	2020/07/26 16:17:34
Clallam County	2020-06-07	4	0	2	1	1	0	0	2020/07/26 16:17:34
Clallam County	2020-06-14	1	0	1	0	0	0	0	2020/07/26 16:17:34
Clallam County	2020-06-21	8	2	3	3	0	0	0	2020/07/26 16:17:34
Clallam County	2020-06-28	8	0	4	1	3	0	0	2020/07/26 16:17:34
Clallam County	2020-07-05	16	6	3	6	1	0	0	2020/07/26 16:17:34
Clallam County	2020-07-12	9	2	2	4	1	0	0	2020/07/26 16:17:34
Clallam County	2020-07-19	4	2	0	1	1	0	0	2020/07/26 16:17:34
Clark County	2020-02-23	3	0	0	1	1	1	0	2020/07/26 16:17:34
Clark County	2020-03-01	5	0	0	2	0	3	0	2020/07/26 16:17:34
Clark County	2020-03-08	29	0	3	15	11	0	0	2020/07/26 16:17:34
Clark County	2020-03-15	57	2	10	26	15	4	0	2020/07/26 16:17:34
Clark County	2020-03-22	70	0	21	27	19	3	0	2020/07/26 16:17:34
Clark County	2020-03-29	49	1	11	19	16	2	0	2020/07/26 16:17:34
Clark County	2020-04-05	62	2	19	17	16	8	0	2020/07/26 16:17:34
Clark County	2020-04-12	46	2	8	15	12	9	0	2020/07/26 16:17:34
Clark County	2020-04-19	22	3	3	7	1	8	0	2020/07/26 16:17:34
Clark County	2020-04-26	18	3	6	5	3	1	0	2020/07/26 16:17:34
Clark County	2020-05-03	21	6	8	6	1	0	0	2020/07/26 16:17:34
Clark County	2020-05-10	20	2	8	8	2	0	0	2020/07/26 16:17:34
Clark County	2020-05-17	68	4	33	28	3	0	0	2020/07/26 16:17:34
Clark County	2020-05-24	77	27	26	18	5	1	0	2020/07/26 16:17:34
Clark County	2020-05-31	57	10	20	21	5	1	0	2020/07/26 16:17:34
Clark County	2020-06-07	41	3	19	14	4	1	0	2020/07/26 16:17:34
Clark County	2020-06-14	61	9	31	14	6	1	0	2020/07/26 16:17:34
Clark County	2020-06-21	152	12	82	44	13	1	0	2020/07/26 16:17:34
Clark County	2020-06-28	125	15	56	33	18	3	0	2020/07/26 16:17:34
Clark County	2020-07-05	155	28	68	36	17	6	0	2020/07/26 16:17:34
Clark County	2020-07-12	133	14	62	39	13	3	2	2020/07/26 16:17:34
Clark County	2020-07-19	57	10	21	18	6	2	0	2020/07/26 16:17:34
Columbia County	2020-03-01	1	0	0	0	1	0	0	2020/07/26 16:17:34
Columbia County	2020-06-07	2	0	0	2	0	0	0	2020/07/26 16:17:34
Columbia County	2020-06-14	5	4	1	0	0	0	0	2020/07/26 16:17:34
Columbia County	2020-07-05	1	0	0	1	0	0	0	2020/07/26 16:17:34
Columbia County	2020-07-12	1	0	0	1	0	0	0	2020/07/26 16:17:34
Columbia County	2020-07-19	2	0	1	0	1	0	0	2020/07/26 16:17:34
Cowlitz County	2020-02-23	1	0	0	0	1	0	0	2020/07/26 16:17:34
Cowlitz County	2020-03-01	1	0	0	0	1	0	0	2020/07/26 16:17:34
Cowlitz County	2020-03-08	8	0	2	1	5	0	0	2020/07/26 16:17:34
Cowlitz County	2020-03-15	8	0	3	1	3	1	0	2020/07/26 16:17:34
Cowlitz County	2020-03-22	3	0	2	0	1	0	0	2020/07/26 16:17:34
Cowlitz County	2020-03-29	7	1	1	2	3	0	0	2020/07/26 16:17:34
Cowlitz County	2020-04-05	6	0	0	4	2	0	0	2020/07/26 16:17:34
Cowlitz County	2020-04-12	10	0	2	2	6	0	0	2020/07/26 16:17:34
Cowlitz County	2020-04-19	5	0	3	2	0	0	0	2020/07/26 16:17:34
Cowlitz County	2020-04-26	14	5	6	1	2	0	0	2020/07/26 16:17:34
Cowlitz County	2020-05-03	5	1	1	1	2	0	0	2020/07/26 16:17:34
Cowlitz County	2020-05-10	5	0	2	3	0	0	0	2020/07/26 16:17:34
Cowlitz County	2020-05-17	2	0	0	2	0	0	0	2020/07/26 16:17:34
Cowlitz County	2020-05-24	3	0	0	3	0	0	0	2020/07/26 16:17:34
Cowlitz County	2020-05-31	35	2	18	10	4	1	0	2020/07/26 16:17:34
Cowlitz County	2020-06-07	24	4	12	6	2	0	0	2020/07/26 16:17:34
Cowlitz County	2020-06-14	33	5	15	9	2	1	1	2020/07/26 16:17:34
Cowlitz County	2020-06-21	33	5	11	9	6	2	0	2020/07/26 16:17:34
Cowlitz County	2020-06-28	38	3	17	15	3	0	0	2020/07/26 16:17:34
Cowlitz County	2020-07-05	98	25	43	28	2	0	0	2020/07/26 16:17:34
Cowlitz County	2020-07-12	37	6	16	12	3	0	0	2020/07/26 16:17:34
Cowlitz County	2020-07-19	19	0	8	10	1	0	0	2020/07/26 16:17:34
Douglas County	2020-03-01	3	0	0	1	1	0	1	2020/07/26 16:17:34
Douglas County	2020-03-08	1	0	0	0	0	1	0	2020/07/26 16:17:34
Douglas County	2020-03-15	1	0	0	0	1	0	0	2020/07/26 16:17:34
Douglas County	2020-03-22	8	3	1	2	0	2	0	2020/07/26 16:17:34
Douglas County	2020-03-29	8	1	6	1	0	0	0	2020/07/26 16:17:34
Douglas County	2020-04-05	8	0	4	1	2	1	0	2020/07/26 16:17:34
Douglas County	2020-04-12	38	2	31	4	0	1	0	2020/07/26 16:17:34
Douglas County	2020-04-19	13	0	6	5	2	0	0	2020/07/26 16:17:34
Douglas County	2020-04-26	23	1	7	8	5	2	0	2020/07/26 16:17:34
Douglas County	2020-05-03	20	3	10	7	0	0	0	2020/07/26 16:17:34
Douglas County	2020-05-10	21	2	6	9	4	0	0	2020/07/26 16:17:34
Douglas County	2020-05-17	23	4	5	12	2	0	0	2020/07/26 16:17:34
Douglas County	2020-05-24	11	1	4	5	1	0	0	2020/07/26 16:17:34
Douglas County	2020-05-31	3	0	1	2	0	0	0	2020/07/26 16:17:34
Douglas County	2020-06-07	13	5	3	4	1	0	0	2020/07/26 16:17:34
Douglas County	2020-06-14	20	4	7	8	1	0	0	2020/07/26 16:17:34
Douglas County	2020-06-21	44	8	21	13	2	0	0	2020/07/26 16:17:34
Douglas County	2020-06-28	83	18	34	29	1	1	0	2020/07/26 16:17:34
Douglas County	2020-07-05	91	23	28	32	7	1	0	2020/07/26 16:17:34
Douglas County	2020-07-12	135	29	46	46	14	0	0	2020/07/26 16:17:34
Douglas County	2020-07-19	71	13	23	25	9	1	0	2020/07/26 16:17:34
Ferry County	2020-03-15	1	0	0	0	1	0	0	2020/07/26 16:17:34
Ferry County	2020-06-28	1	0	0	1	0	0	0	2020/07/26 16:17:34
Ferry County	2020-07-05	4	0	0	3	1	0	0	2020/07/26 16:17:34
Ferry County	2020-07-12	1	0	1	0	0	0	0	2020/07/26 16:17:34
Ferry County	2020-07-19	2	0	1	0	1	0	0	2020/07/26 16:17:34
Franklin County	2020-02-09	1	0	0	1	0	0	0	2020/07/26 16:17:34
Franklin County	2020-02-23	1	0	0	0	1	0	0	2020/07/26 16:17:34
Franklin County	2020-03-01	2	0	1	0	1	0	0	2020/07/26 16:17:34
Franklin County	2020-03-08	6	0	2	3	1	0	0	2020/07/26 16:17:34
